Year,Month,Provinces,Region,Occupancy rate,Number of guests (people),Total number of visitors (people),Number of Thai visitors (people),Number of foreign visitors (people),Income from visitors (million baht),Income from Thai visitors (million baht),Income from foreign visitors (million baht)
2019,6,Chachoengsao,Eastern,55.57,40885,291289,289940,1349,461.32,458.19,3.13
2019,6,Chanthaburi,Eastern,62.08,153288,238059,226915,11144,941.22,864.03,77.19
2019,6,Chonburi,Eastern,75.51,1272728,1541183,784721,756462,22752.19,4895.04,17857.15
2019,6,Nakhon Nayok,Eastern,61.95,137656,232941,232071,870,624.63,621.99,2.64
2019,6,Prachin Buri,Eastern,51.78,83396,135349,128275,7074,423.91,382.34,41.57
2019,6,Rayong,Eastern,80.49,437564,724951,691326,33625,2954.66,2656.36,298.3
2019,6,Sa Kaeo,Eastern,56.4,64022,182463,164664,17799,558.92,510.39,48.53
2019,6,Trat,Eastern,59.23,145191,164839,136159,28680,1391.31,955.24,436.07
2019,7,Chachoengsao,Eastern,57.48,43081,292809,290878,1931,448.54,443.17,5.37
2019,7,Chanthaburi,Eastern,60.21,131601,166171,158020,8151,583.77,549.33,34.44
2019,7,Chonburi,Eastern,74.36,1106315,1305356,577241,728115,13228.71,3228.75,9999.96
2019,7,Nakhon Nayok,Eastern,69.02,176130,293370,290508,2862,601.52,591.7,9.82
2019,7,Prachin Buri,Eastern,55.6,79951,120794,115064,5730,377.7,357.45,20.25
2019,7,Rayong,Eastern,69.23,308020,586240,540938,45302,2785.33,2333.69,451.64
2019,7,Sa Kaeo,Eastern,54.4,67138,167791,144500,23291,510.54,459.58,50.96
2019,7,Trat,Eastern,54.85,151318,162788,137697,25091,1240.35,881.86,358.49
2019,8,Chachoengsao,Eastern,53.21,38773,263583,261872,1711,403.74,398.98,4.76
2019,8,Chanthaburi,Eastern,50.75,115377,145697,138506,7191,511.88,481.49,30.39
2019,8,Chonburi,Eastern,75.9,1152253,1369703,640705,728998,13595.81,3583.72,10012.09
2019,8,Nakhon Nayok,Eastern,61.3,156790,261140,258775,2365,535.19,527.07,8.12
2019,8,Prachin Buri,Eastern,59.09,82244,124224,118655,5569,388.29,368.61,19.68
2019,8,Rayong,Eastern,58.65,264248,502973,464192,38781,2389.22,2002.59,386.63
2019,8,Sa Kaeo,Eastern,49.24,61546,152869,132671,20198,466.15,421.96,44.19
2019,8,Trat,Eastern,49.82,138192,148666,125771,22895,1132.6,805.48,327.12
2019,9,Chachoengsao,Eastern,53.85,39815,270653,268890,1763,414.57,409.65,4.92
2019,9,Chanthaburi,Eastern,54.4,117448,148287,141054,7233,520.93,490.37,30.56
2019,9,Chonburi,Eastern,72.32,1050750,1252436,597467,654969,12378.57,3341.87,9036.7
2019,9,Nakhon Nayok,Eastern,64.47,161697,269332,266679,2653,552.29,543.18,9.11
2019,9,Prachin Buri,Eastern,59.58,78292,118213,113290,4923,369.36,351.95,17.41
2019,9,Rayong,Eastern,60.55,267300,507120,464670,42450,2427.87,2004.66,423.21
2019,9,Sa Kaeo,Eastern,51.82,64395,159756,138855,20901,487.37,441.64,45.73
2019,9,Trat,Eastern,52.29,142205,152983,129727,23256,1165.93,834.74,331.19
2019,10,Chachoengsao,Eastern,52.12,39094,306601,302219,4382,497.65,489.8,7.85
2019,10,Chanthaburi,Eastern,54.68,142775,190414,184123,6291,615.32,587.53,27.79
2019,10,Chonburi,Eastern,75.37,1220788,1608024,710207,897817,26961.65,5225.05,21736.6
2019,10,Nakhon Nayok,Eastern,58.24,127806,243912,240726,3186,537.17,522.57,14.6
2019,10,Prachin Buri,Eastern,50.45,79860,138975,126770,12205,423.49,361.11,62.38
2019,10,Rayong,Eastern,61.47,309859,662422,620219,42203,4142.75,3657.26,485.49
2019,10,Sa Kaeo,Eastern,52.47,64487,187883,165165,22718,591.75,538.34,53.41
2019,10,Trat,Eastern,64.62,158830,186121,139965,46156,1681.38,965.53,715.85
2019,11,Chachoengsao,Eastern,53.98,40612,318879,315214,3665,517.44,510.87,6.57
2019,11,Chanthaburi,Eastern,52.16,132847,177500,169992,7508,575.61,542.44,33.17
2019,11,Chonburi,Eastern,83.13,1319409,1782680,883767,898913,28265.07,6501.94,21763.13
2019,11,Nakhon Nayok,Eastern,60.46,121675,231927,227993,3934,512.96,494.93,18.03
2019,11,Prachin Buri,Eastern,53.64,81485,142085,130449,11636,431.07,371.59,59.48
2019,11,Rayong,Eastern,64.93,334314,714492,668646,45846,4470.23,3942.83,527.4
2019,11,Sa Kaeo,Eastern,54.29,61306,182713,155533,27180,570.85,506.95,63.9
2019,11,Trat,Eastern,62.98,153704,180003,131056,48947,1663.22,904.08,759.14
2019,12,Chachoengsao,Eastern,49.81,37466,293910,289895,4015,477.01,469.81,7.2
2019,12,Chanthaburi,Eastern,58.39,145003,193495,186546,6949,625.96,595.25,30.71
2019,12,Chonburi,Eastern,84.38,1270383,1715784,849229,866555,27172.99,6247.84,20925.15
2019,12,Nakhon Nayok,Eastern,59.38,125172,238714,235053,3661,527.03,510.25,16.78
2019,12,Prachin Buri,Eastern,55.28,84927,147991,135584,12407,449.64,386.22,63.42
2019,12,Rayong,Eastern,65.78,332269,707029,656839,50190,4450.59,3873.21,577.38
2019,12,Sa Kaeo,Eastern,58.15,70987,210384,180521,29863,658.61,588.4,70.21
2019,12,Trat,Eastern,65.85,170268,199433,146422,53011,1833.46,1010.08,823.38
2020,4,Amnat Charoen,Northeastern,0.08,11,11,11,0,0.01,0.01,0
2020,4,Ang Thong,Central,0,0,0,0,0,0,0,0
2020,4,Bueng Kan,Northeastern,0,0,0,0,0,0,0,0
2020,4,Buriram,Northeastern,0.08,117,117,117,0,0.06,0.06,0
2020,4,Chachoengsao,Eastern,0,0,0,0,0,0,0,0
2020,4,Chai Nat,Central,0,0,0,0,0,0,0,0
2020,4,Chaiyaphum,Northeastern,0.05,67,67,67,0,0.03,0.03,0
2020,4,Chanthaburi,Eastern,0,0,0,0,0,0,0,0
2020,4,Chumphon,Southern,0.06,74,74,74,0,0.17,0.17,0
2020,4,Kalasin,Northeastern,0.12,38,38,38,0,0.04,0.04,0
2020,4,Kanchanaburi,Central,0,0,0,0,0,0,0,0
2020,4,Khon Kaen,Northeastern,0.07,245,245,245,0,0.37,0.37,0
2020,4,Lampang,Northern,4.76,1493,1493,1493,0,3.78,3.78,0
2020,4,Lamphun,Northern,2.08,408,408,408,0,0.34,0.34,0
2020,4,Loei,Northeastern,0,0,0,0,0,0,0,0
2020,4,Lop Buri,Central,0.09,40,40,40,0,0.07,0.07,0
2020,4,Maha Sarakham,Northeastern,0,0,0,0,0,0,0,0
2020,4,Mukdahan,Northeastern,0.13,114,114,114,0,0.07,0.07,0
2020,4,Nakhon Nayok,Eastern,0,0,0,0,0,0,0,0
2020,4,Nakhon Pathom,Central,1.34,637,637,637,0,0.45,0.45,0
2020,4,Nakhon Phanom,Northeastern,0.25,143,143,143,0,0.12,0.12,0
2020,4,Nakhon Ratchasima,Northeastern,0.04,280,280,280,0,0.25,0.25,0
2020,4,Nakhon Si Thammarat,Southern,0.05,152,152,152,0,0.22,0.22,0
2020,4,Nan,Northern,0,0,0,0,0,0,0,0
2020,4,Nong Bua Lamphu,Northeastern,0,0,0,0,0,0,0,0
2020,4,Nong Khai,Northeastern,0.02,36,36,36,0,0.03,0.03,0
2020,4,Nonthaburi,Central,0,0,0,0,0,0,0,0
