Year,Month,Country,Region,Sub_Region,Number of Tourists
2020,Mar,Saudi Arabia,Middle East,NULL,56
2020,Mar,Qatar,Middle East,NULL,197
2020,Mar,Oman,Middle East,NULL,301
2020,Mar,Lebanon,Middle East,NULL,14
2020,Mar,Kuwait,Middle East,NULL,109
2020,Mar,Jordan,Middle East,NULL,48
2020,Mar,Egypt,Middle East,NULL,236
2020,Mar,Iraq,Middle East,NULL,17
2020,Mar,Bahrain,Middle East,NULL,91
2020,Mar,Other in Africa,Africa,NULL,672
2020,Mar,Other in Asia,Asia and the Pacific,NULL,23
2020,Mar,Mauritius,Africa,NULL,264
2020,Mar,Kenya,Africa,NULL,137
2020,Mar,South  Africa,Africa,NULL,1896
2020,Mar,Ethiopia,Africa,NULL,349
2020,Mar,Morocco,Africa,NULL,226
2020,Mar,Peru,America,NULL,297
2020,Mar,Uruguay,America,NULL,78
2020,Mar,Other in America,America,NULL,475
2020,Mar,Colombia,America,NULL,421
2020,Mar,Chile,America,NULL,533
2020,Mar,Argentina,America,NULL,2508
2020,Mar,Brazil,America,NULL,3350
2020,Mar,The United States of America,America,NULL,24151
2020,Mar,Canada,America,NULL,7615
2020,Mar,Mexico,America,NULL,1224
2020,Mar,Singapore,Asia and the Pacific,South-East Asia,14741
2020,Mar,Vietnam,Asia and the Pacific,South-East Asia,17382
2020,Mar,Philippines,Asia and the Pacific,South-East Asia,9488
2020,Mar,Myanmar,Asia and the Pacific,South-East Asia,8237
2020,Mar,Malaysia,Asia and the Pacific,South-East Asia,94813
2020,Mar,Laos,Asia and the Pacific,South-East Asia,86025
2020,Mar,Other in Europe,Europe,NULL,403
2020,Mar,Switzerland,Europe,Western Europe,8301
2020,Mar,Netherlands,Europe,Western Europe,9189
2020,Mar,Luxembourg,Europe,Western Europe,180
2020,Mar,Germany,Europe,Western Europe,48160
2020,Mar,France,Europe,Western Europe,39859
2020,Mar,Belgium,Europe,Western Europe,5256
2020,Mar,Austria,Europe,Western Europe,5179
2020,Mar,United Kingdom,Europe,Northern Europe,40070
2020,Mar,Norway,Europe,Northern Europe,5109
2020,Mar,Sweden,Europe,Northern Europe,14291
2020,May,North Korea,Asia and the Pacific,North-East Asia,0
2020,May,Japan,Asia and the Pacific,North-East Asia,0
2020,May,Kenya,Africa,NULL,0
2020,May,Mauritius,Africa,NULL,0
2020,May,Other in Africa,Africa,NULL,0
2020,May,China,Asia and the Pacific,North-East Asia,0
2020,May,Hong Kong (China),Asia and the Pacific,North-East Asia,0
2020,May,Other in Europe,Europe,NULL,0
2020,May,Other in Asia,Asia and the Pacific,NULL,0
2020,May,Morocco,Africa,NULL,0
2020,May,South  Africa,Africa,NULL,0
2020,May,Ethiopia,Africa,NULL,0
2020,May,Other in America,America,NULL,0
2020,May,Peru,America,NULL,0
2020,May,Uruguay,America,NULL,0
2020,May,Bahrain,Middle East,NULL,0
2020,May,Egypt,Middle East,NULL,0
2020,May,Iraq,Middle East,NULL,0
2020,May,Jordan,Middle East,NULL,0
2020,May,Kuwait,Middle East,NULL,0
2020,May,Lebanon,Middle East,NULL,0
2020,May,Oman,Middle East,NULL,0
2020,May,Qatar,Middle East,NULL,0
2020,May,Saudi Arabia,Middle East,NULL,0
2020,May,U.A.E.,Middle East,NULL,0
2020,May,Yemen,Middle East,NULL,0
2020,May,Other in Middle East,Middle East,NULL,0
2020,May,Canada,America,NULL,0
2020,May,Mexico,America,NULL,0
2020,May,The United States of America,America,NULL,0
